Date,Drug type,Origin,Transit,Destination,Seizure country,Seizure place,Origin place,Destination place,Vessel,Shipping line,Container no.,Cover cargo,Routing,Concealment,Modus operandi,Total quantity (kg),Other quantity,Other unit,Case count,Arrests,Transport type,Container,Risk score,Risk band,Risk flags,Reports (n),Outlets,Text used,Language,Headline,Link,Event ID
2026-09-23,Unspecified,,,,,,,,,,,,,,Unspecified (0 kg),0.02413,,,1,,Unknown,No,0,Low,,3,"Aksiyon.com.TR, Son Dakika, iha.com.tr",full,tr,Keşan’da polisin denetimlerinde uyuşturucu ve ruhsatsız tabanca ele geçirildi İhlas Haber Ajansı,https://www.iha.com.tr/edirne-haberleri/kesanda-polisin-denetimlerinde-uyusturucu-ve-ruhsatsiz-tabanca-ele-gecirildi-489745613,3012
2026-09-23,Cannabis,,,,Russia,,,,,,,,,,Cannabis,,,,1,,Unknown,No,0,Low,,1,Амурская Служба Новостей,full,ru,На ж/д вокзале Белогорска полицейские изъяли у молодого человека шприц с наркотиком,https://asn24.ru/news/crime/na-zh-d-vokzale-belogorska-politseyskie-izyali-u-molodogo-cheloveka-shprits-s-narkotikom-23-09-2026/,3077
2026-09-23,Cannabis,,,,,,,,,,,,,Postal / parcel,Cannabis (10 kg) | Post/express | concealed: Postal / parcel,10.0,,,1,,Post/express,No,0,Low,,1,shabiba.com,full,ar,«أكثر من 10 كيلوجرامات من الماريجوانا».. إحباط محاولة تهريب عبر طرد بريدي قادم من تايلند,https://shabiba.com/article/211229-%D8%A3%D9%83%D8%AB%D8%B1-%D9%85%D9%86-10-%D9%83%D9%8A%D9%84%D9%88%D8%AC%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%A7%D8%B1%D9%8A%D8%AC%D9%88%D8%A7%D9%86%D8%A7-%D8%A5%D8%AD%D8%A8%D8%A7%D8%B7-%D9%85%D8%AD%D8%A7%D9%88%D9%84%D8%A9-%D8%AA%D9%87%D8%B1%D9%8A%D8%A8-%D8%B9%D8%A8%D8%B1-%D8%B7%D8%B1%D8%AF-%D8%A8%D8%B1%D9%8A%D8%AF%D9%8A-%D9%82%D8%A7%D8%AF%D9%85-%D9%85%D9%86-%D8%AA%D8%A7%D9%8A%D9%84%D9%86%D8%AF,3003
2026-09-23,Cocaine,,,,,,,,,,,,,,Cocaine (54 kg) | Road,54.0,,,1,,Road,No,0,Low,,1,Actu.fr,full,fr,Un refus d'obtempérer conduit les policiers de Montpellier à un garage : 54kg de cocaïne pure saisis,https://actu.fr/occitanie/montpellier_34172/un-refus-d-obtemperer-conduit-les-policiers-de-montpellier-a-un-garage-54kg-de-cocaine-pure-saisis_64825730.html,2665
2026-09-23,Cocaine,,,,,,,,,,,,,,Cocaine | Road,,,,1,,Road,No,0,Low,,1,sudinfo.be,snippet,fr,"Un homme privé de liberté après un contrôle à Couvin, la police a saisi de la cocaïne dans son véhicule",https://www.sudinfo.be/id1197310/article/2026-09-23/un-homme-prive-de-liberte-apres-un-controle-couvin-la-police-saisi-de-la-cocaine,2666
2026-09-23,Cocaine,,,,Italy,Genoa,,,,,,,,,Cocaine | Sea - cargo (other),,,,1,,Sea - cargo (other),No,0,Low,,1,TopElegance,full,pt,Cocaína escondida em carga com destino à Europa é apreendida em Itapoá,https://www.topelegance.com.br/noticia-detalhe/38168/cocaina-escondida-em-carga-com-destino-a-europa-e-apreendida-em-itapoa,2670
2026-09-23,NSA,,,,,,,,,,,,,,NSA,,,,1,,Unknown,No,0,Low,,1,newturkpost.com,full,ar,ضبط مخدرات بقيمة ١٢ مليون ليرة في كيركيكالي وتوقيف ٦ أشخاص,https://newturkpost.com/news/123825-%D8%B6%D8%A8%D8%B7-%D9%85%D8%AE%D8%AF%D8%B1%D8%A7%D8%AA-%D8%A8%D9%82%D9%8A%D9%85%D8%A9-%D9%A1%D9%A2-%D9%85%D9%84%D9%8A%D9%88%D9%86-%D9%84%D9%8A%D8%B1%D8%A9-%D9%81%D9%8A-%D9%83%D9%8A%D8%B1%D9%83%D9%8A%D9%83%D8%A7%D9%84%D9%8A-%D9%88%D8%AA%D9%88%D9%82%D9%8A%D9%81-%D9%A6-%D8%A3%D8%B4%D8%AE%D8%A7%D8%B5,2683
2026-09-23,Cannabis,,,,,,,,,,,,,Postal / parcel,Cannabis | Post/express | concealed: Postal / parcel,,,,1,,Post/express,No,0,Low,,1,newturkpost.com,full,ar,عملية أمنية في كيليس تسفر عن ضبط نحو كيلوغرامين من الحشيش واعتقال متهم,https://newturkpost.com/news/123861-%D8%B9%D9%85%D9%84%D9%8A%D8%A9-%D8%A3%D9%85%D9%86%D9%8A%D8%A9-%D9%81%D9%8A-%D9%83%D9%8A%D9%84%D9%8A%D8%B3-%D8%AA%D8%B6%D8%A8%D8%B7-%D8%A7%D9%84%D8%AD%D8%B4%D9%8A%D8%B4,2692
2026-09-23,NSA,,,,,,,,,,,,,,NSA,,,,1,,Unknown,No,0,Low,,1,Sabah,full,tr,Kırıkkale'de uyuşturucu operasyonu! 107 bin 200 adet sentetik madde ele geçirildi | Video videosunu izle | Son Dakika Haberleri,https://www.sabah.com.tr/video/yasam/kirikkalede-uyusturucu-operasyonu-107-bin-200-adet-sentetik-madde-ele-gecirildi-video,2731
2026-09-23,NSA,,,,,,,,,,,,,,NSA,,,,1,,Unknown,No,0,Low,,1,Milliyet,full,tr,Samsun'da 130 bin 624 uyuşturucu hap ele geçirildi,https://www.milliyet.com.tr/yerel-haberler/samsun/samsunda-130-bin-624-uyusturucu-hap-ele-geciri-7665842,2741
2026-09-23,Cocaine,,,,,,,,,,,,,,Cocaine,,,,1,,Unknown,No,0,Low,,1,light-dark.net,snippet,ar,تفاصيل واقعة ضبط شاعر وملحن بحوزتهما 200 كيس ما بين كوكايين وآيس في التجمع,https://www.light-dark.net/%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84-%D9%88%D8%A7%D9%82%D8%B9%D8%A9-%D8%B6%D8%A8%D8%B7-%D8%B4%D8%A7%D8%B9%D8%B1-%D9%88%D9%85%D9%84%D8%AD%D9%86-%D8%A8%D8%AD%D9%88%D8%B2%D8%AA%D9%87%D9%85%D8%A7-200/,2707
2026-09-23,Unspecified,,,,,,,,,,,,,,Unspecified (1 kg) | Road,1.0,,,1,,Road,No,0,Low,,1,canakkaleaynalipazar.com,full,tr,"Çok Sayıda Uyuşturucu Madde, Silah ve Para Ele Geçirildi",https://www.canakkaleaynalipazar.com/haber-cok-sayida-uyusturucu-madde-silah-ve-para-ele-gecirildi-28676.html,2745
2026-09-23,Methamphetamine,,,,,,,,,,,,,,Methamphetamine,,,,1,,Unknown,No,0,Low,,1,digicastnegros.com,full,en,"P102,000 shabu, firearm seized in Kabankalan drug bust",https://digicastnegros.com/p102000-shabu-firearm-seized-in-kabankalan-drug-bust/,2580
2026-09-23,Cocaine,,,,,,,,,,,,,,Cocaine (5 kg),4.98949,,,1,,Unknown,No,0,Low,,1,CT Insider,full,en,Waterbury man accused of running drug factory after police seize nearly 11 pounds of cocaine,https://www.ctinsider.com/waterbury/article/waterbury-corey-jones-cocaine-drug-factory-arrest-22443991.php,2589
2026-09-23,Cocaine,,,,Canada,Edmonton,,,,,,,,Body concealment,Cocaine | concealed: Body concealment,,,,1,,Unknown,No,0,Low,,1,Global News,full,en,Mystery of VPD record cocaine seizure,https://globalnews.ca/video/12069417/mystery-of-vpd-record-cocaine-seizure/,2594
2026-09-23,Cocaine,,,,Ireland,,,,,,,,,,Cocaine,,,,1,,Unknown,No,0,Low,,2,"Ireland Live News, Limerick Leader",full,en,LATEST: Man to appear before Limerick court following €275k cocaine seizure,https://www.limerickleader.ie/news/crime-courts/latest-man-to-appear-before-limerick-court-following-eu275k-cocaine-seizure-9155774,2602
2026-09-23,Methamphetamine,,,,United States,Nebraska,,,,,,,,,Methamphetamine,,,,1,,Unknown,No,0,Low,,1,River Country News Channel Nebraska,snippet,en,State patrol seize methamphetamine in Syracuse,https://rivercountry.newschannelnebraska.com/story/364065341/state-patrol-seize-methamphetamine-in-syracuse,2613
2026-09-23,Methamphetamine,,,,,,,,,,,,,,Methamphetamine,,,,1,,Unknown,No,0,Low,,1,Stuff,snippet,en,"1200 people charged, 254kg of meth seized in trans-Tasman drug crackdown",https://www.stuff.co.nz/nz-news/361037159/1200-people-charged-254kg-meth-seized-trans-tasman-drug-crackdown,2615
2026-09-23,Cigarettes,,,,Philippines,Zamboanga,,,,,,,,,Cigarettes,,,,1,,Unknown,No,0,Low,,1,Inquirer.net,snippet,en,P14-M ‘smuggled’ cigarettes seized along Zamboanga City shoreline,https://newsinfo.inquirer.net/2310061/p14-m-smuggled-cigarettes-seized-along-zamboanga-city-shoreline,2633
2026-09-23,Cigarettes,,,,Nepal,Kathmandu,,,,,,,,Luggage / passenger goods,Cigarettes | Air - passenger | concealed: Luggage / passenger goods,,,,1,,Air - passenger,No,0,Low,,1,english.ratopati.com,full,en,Cigarettes and Tobacco Products Seized at Tribhuvan International Airport,https://english.ratopati.com/story/80490/cigarettes-and-tobacco-products-seized-from-airport,2635
2026-09-23,Cigarettes,,,,,,,,,,,,,,Cigarettes | Road,,,,1,,Road,No,0,Low,,1,NST Online,full,en,"Customs seizes RM25.7mil worth of contraband cigarettes, liquor",https://www.nst.com.my/news/regional/2026/09/1539003/customs-seizes-rm257mil-worth-contraband-cigarettes-liquor,2637
2026-09-23,Methamphetamine,,,,,,,,,,,,,,Methamphetamine,,,,1,,Unknown,No,0,Low,,1,WOWK 13 News,snippet,en,Pikeville man arrested after meth seized during traffic stop,https://www.wowktv.com/news/kentucky/floyd-county-ky/pikeville-man-arrested-after-meth-seized-during-traffic-stop/,2610
2026-09-23,Cannabis,,,,,,,,,,,,,Postal / parcel,Cannabis (6 kg) | Post/express | concealed: Postal / parcel,5.9,,,1,,Post/express,No,0,Low,,1,adaderana.lk,snippet,en,"Police seize 3.5kg of kush cannabis, 2.4kg of hashish from overseas courier package",https://adaderana.lk/news/cmudetpyf0004356olh8xevph,2907
2026-09-23,Cannabis,,,,,,,,,,,,,,Cannabis (0 kg),0.165,,,1,,Unknown,No,0,Low,,1,Aksu Haber,full,tr,Hatay’da Dev Operasyon! Adreslere Baskın Yapıldı: Binlerce Litre Sahte İçki ve Uyuşturucu Ele Geçirildi,https://www.aksutvhaber.net/hatayda-dev-operasyon-adreslere-baskin-yapildi-binlerce-litre-sahte-icki-ve-uyusturucu-ele-gecirildi,2748
2026-09-23,Heroin/Opium,,,,United Arab Emirates,Dubai,,,,,,,,,Heroin/Opium (20 kg) | 4 arrests,20.0,,,1,4.0,Unknown,No,0,Low,,3,"Amar Ujala, The News Mill, The Tribune",full,en,"CI wing of Punjab Police bust cross-border drug module, 20 kg heroin seized",https://www.tribuneindia.com/news/amritsar/ci-wing-of-punjab-police-bust-cross-border-drug-module-20-kg-heroin-seized/amp,2852
2026-09-23,Cocaine,,,,Ireland,,,,,,,,,,Cocaine,,,,1,,Unknown,No,0,Low,,1,Limerick Post,full,en,"Man appears in court in relation to €275,000 cocaine seizure in Limerick City",https://www.limerickpost.ie/2026/09/23/man-appears-in-court-in-relation-to-e275000-cocaine-seizure-in-limerick-city/,2853
2026-09-23,Cocaine,,,,,,,,,,,,,,Cocaine | Sea - vessel/small craft,,,,1,,Sea - vessel/small craft,No,0,Low,,1,TVP World,snippet,en,Polish-flagged yacht seized by Spanish authorities with two tonnes of cocaine,https://tvpworld.com/95541114/polish-flagged-yacht-seized-with-21-tonnes-of-cocaine,2865
2026-09-23,Cocaine,,,,,,,,,,,,,,Cocaine | Road | 29 arrests,,,,1,29.0,Road,No,0,Low,,1,Cork Beo,full,en,"Dogs, drugs, swords and scramblers seized in major Garda sweep in Limerick",https://www.corkbeo.ie/news/local-news/dogs-drugs-swords-scramblers-seized-34658493,2872
2026-09-23,Unspecified,,,,,,,,,,,,,,Unspecified,,,,1,,Unknown,No,0,Low,,1,Sunday World,snippet,en,Young man and woman arrested after gardai seize drugs worth €161k,https://www.crimeworld.com/ireland/young-man-and-woman-arrested-after-gardai-seize-drugs-worth-161k/a/161955838.html,2878
2026-09-23,Methamphetamine,,,,,,,,,,,,,,Methamphetamine (0 kg) | Road,0.124,,,1,,Road,No,0,Low,,1,DrydenWire.com,full,en,124 Grams Of Meth Seized During Rusk County Traffic Stop,https://drydenwire.com/news/124-grams-of-meth-seized-during-rusk-county-traffic-stop/,2879
2026-09-23,Cigarettes,,,,,,,,,,,,,,Cigarettes | Sea - cargo (other),,,,1,,Sea - cargo (other),No,0,Low,,1,Inquirer.net,snippet,en,"P560,000 worth of smuggled cigarettes seized in Puerto Princesa",https://newsinfo.inquirer.net/2310389/p560000-worth-of-smuggled-cigarettes-seized-in-puerto-princesa,2888
2026-09-23,Cocaine,United Kingdom,,Thailand,United Kingdom,Heathrow airport,Heathrow airport,,,,,,United Kingdom -> Thailand,,Cocaine | Air | route: United Kingdom -> Thailand,,,,1,,Air,No,0,Low,,1,Grimsby Live,full,en,Cleethorpes drug dealer arrested at Heathrow Airport trying to get to Thailand,https://www.grimsbytelegraph.co.uk/news/grimsby-news/cleethorpes-drug-dealer-arrested-heathrow-11162642,2899
2026-09-23,Cannabis,,,,,,,,,,,,,,Cannabis,,,,1,,Unknown,No,0,Low,,1,Irish Independent,snippet,en,Man and woman (20s) charged after gardaí seize cannabis worth €161k at two separate locations in Meath,https://www.independent.ie/irish-news/man-and-woman-20s-charged-after-gardai-seize-cannabis-worth-161k-at-two-separate-locations-in-meath/a/161956911.html,2877
2026-09-23,NSA,,,,Turkey,Istanbul,,,,,,,,,NSA,,,,1,,Unknown,No,0,Low,,1,Haberler,full,tr,"Samsun Atakum'da 130 bin 624 uyuşturucu hap ele geçirildi, 1 şüpheli gözaltına alındı",https://www.haberler.com/amp/samsun-atakum-da-130-bin-624-uyusturucu-hap-ele-20262851-haberi/,2750
2026-09-23,Heroin/Opium,,,,,,,,,,,,,,Heroin/Opium,,,,1,,Unknown,No,0,Low,,1,newstobihar.in,full,hi,समस्तीपुर में 420 ग्राम मॉर्फिन-हेरोइन के साथ 3 तस्कर पकड़े:25 नशीले इंजेक्शन जप्त,https://newstobihar.in/2026/09/420-grams-of-morphine-in-samastipur/,2840
2026-09-23,Cannabis,,,,,,,,,,,,,Postal / parcel,Cannabis (15 kg) | Post/express | concealed: Postal / parcel,14.752,,,1,,Post/express,No,0,Low,,1,Akdeniz Gerçek,full,tr,Hatay'da Operasyon: 4 Metrelik Kenevirler ve Silah Ele Geçirildi,https://www.akdenizgercek.com.tr/hatay/hatayda-operasyon-4-metrelik-kenevirler-ve-silah-ele-gecirildi/385717,2769
2026-09-23,Unspecified,,,,,,,,,,,,,,Unspecified (0 kg),0.02413,,,1,,Unknown,No,0,Low,,1,DHA | Demirören Haber Ajansı,full,tr,Edirne’de uyuşturucuyla yakalanan 7 şüpheliye gözaltı,https://www.dha.com.tr/yerel-haberler/edirne/kesan/edirnede-uyusturucuyla-yakalanan-7-supheliye-g-2949822,2776
2026-09-23,NSA,,,,,,,,,,,,,,NSA,,,,1,,Unknown,No,0,Low,,1,Milliyet,full,tr,Samsun'da uyuşturucu operasyonunda 4 zanlı yakalandı,https://www.milliyet.com.tr/yerel-haberler/samsun/samsunda-uyusturucu-operasyonunda-4-zanli-yaka-7665856,2777
2026-09-23,NSA,,,,Turkey,,,,,,,,,,NSA,,,,1,,Unknown,No,0,Low,,1,Gazete Anadolu,full,tr,GÜNCELLEME - Kırıkkale'de 107 bin 200 sentetik uyuşturucu hap ele geçirildi,https://www.gazeteanadolu.com/guncelleme-kirikkalede-107-bin-200-sentetik-uyusturucu-hap-ele-gecirildi/156478,2784
2026-09-23,Cannabis,,,,Ukraine,,,,,,,,,,Cannabis,,,,1,,Unknown,No,0,Low,,1,dumka.media,full,ru,В Харьковской области мужчина предоставлял знакомым квартиру для употребления наркотиков: его задержали,https://dumka.media/rus/suspilstvo/1790149116-na-harkovshchine-muzhchina-hranil-kannabis-i-predostavlyal-zhile-dlya-ego-upotrebleniya,2789
2026-09-23,Cannabis,,,,Ukraine,,,,,,,,,,Cannabis,,,,1,,Unknown,No,0,Low,,1,objectiv.tv,full,ru,У жителя Роганской громады нашли дома наркотики – ему грозит пять лет тюрьмы,https://www.objectiv.tv/objectively/2026/09/23/u-zhitelya-roganskoj-gromady-nashli-doma-narkotiki-emu-grozit-pyat-let-tyurmy/,2790
2026-09-23,Heroin/Opium,,,,,,,,,,,,,,Heroin/Opium,,,,1,,Unknown,No,0,Low,,1,himachaldastak.com,full,hi,"कोटखाई नाला में कार के अंदर चल रहा था चिट्टे का खेल! पुलिस ने दबोचे 4 आरोपी, 6 ग्राम हेरोइन बरामद",https://himachaldastak.com/kotkhai-car-six-gram-chitta-heroin-four-arrested/,2839
2026-09-23,Cocaine,,,,,,,,,,,,,,Cocaine,,,,1,,Unknown,No,0,Low,,1,华尔街日报中文网,snippet,zh,可卡因走私毒贩靠快艇和科技甩开欧洲执法部门,https://cn.wsj.com/articles/cocaine-smugglers-europe-speedboats-c3e4dab1,2808
2026-09-23,NSA,Afghanistan,,India,India,Delhi,,,,,,,Afghanistan -> India,,NSA | route: Afghanistan -> India,,,,1,,Unknown,No,0,Low,,1,Devbhoomi News,full,hi,"ड्रग्स के खिलाफ अमित शाह का 3 साल का लक्ष्य, 2029 तक नशा-मुक्त भारत का रोडमैप",https://devbhoominews.com/%E0%A4%85%E0%A4%AE%E0%A4%BF%E0%A4%A4-%E0%A4%B6%E0%A4%BE%E0%A4%B9-2/,2817
2026-09-23,Cannabis,,,,India,Uttar Pradesh,,,,,,,,,Cannabis (7 kg),6.9,,,1,,Unknown,No,0,Low,,1,Dainik Bhaskar,full,hi,"ललितपुर में गांजा तस्कर गिरफ्तार, 6.9 किलो गांजा बरामद: पुलिस ने 3.5 लाख रुपये का गांजा जब्त किया, आरोपी पर...",https://www.bhaskar.com/local/uttar-pradesh/lalitpur/news/lalitpur-police-arrest-ganja-smuggler-seize-contraband-139122087.html,2822
2026-09-23,Cannabis,,,,,,,,,,,,,,Cannabis (10 kg),10.0,,,1,,Unknown,No,0,Low,,1,bhaskarhindi.com,full,hi,छत्तीसगढ़ ओडिशा से राजस्थान जा रहा ड्रग तस्कर 10 किलो गांजा के साथ गिरफ्तार,https://www.bhaskarhindi.com/other/chhattisgarh-10-kilo-ganja-ke-saath-taskar-girftar-odisha-se-le-ja-raha-tha-rajasthan-1365076,2828
2026-09-22,Methamphetamine,Ghana,,,South Africa,OR Tambo / Johannesburg,Accra,,,,,bags of charcoal; cement; plastic,Ghana -> South Africa,Legitimate cargo (industrial/goods); Luggage / passenger goods; Postal / parcel,Methamphetamine (320 kg) | Sea - container | concealed: Legitimate cargo (industrial/goods); Postal / parcel; Luggage / passenger goods | route: Ghana -> South Africa | 3 arrests | insider indicators,320.0,,,1,3.0,Sea - container,Yes,80,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Multi-country route, Organised network, Insider indicator, Multiple drugs",1,Modern Ghana,full,en,Fresh South Africa drug arrest puts Ghana’s border controls under scrutiny,https://www.modernghana.com/news/1529767/fresh-south-africa-drug-arrest-puts-ghanas-border.amp,1975
2026-09-22,Cocaine,French Guiana,,,Guinea-Bissau,Bissau,,,,,,fruits,French Guiana -> Guinea-Bissau,Impregnation / liquid / disguised; Legitimate cargo (food/produce); Luggage / passenger goods; Vessel hull / underwater,Cocaine (32.0 t) | Sea - container | concealed: Legitimate cargo (food/produce); Luggage / passenger goods; Impregnation / liquid / disguised; Vessel hull / underwater | route: French Guiana -> Guinea-Bissau,32000.0,,,1,,Sea - container,Yes,75,High,"Container cargo, Hidden in legitimate cargo, Advanced concealment, Large quantity, Multi-country route, Organised network",1,Africa Defense Forum,full,fr,Les trafiquants de cocaïne prennent pour cible le Sénégal,https://adf-magazine.com/fr/2026/09/les-trafiquants-de-cocaine-prennent-pour-cible-le-senegal/,2436
2026-09-22,Cocaine,Ghana,,,South Africa,OR Tambo / Johannesburg,Accra,,,,,bags of charcoal; cement; plastic,Ghana -> South Africa,Legitimate cargo (industrial/goods); Luggage / passenger goods; Postal / parcel; Vehicle compartment,Cocaine (320 kg) | Sea - container | concealed: Legitimate cargo (industrial/goods); Postal / parcel; Luggage / passenger goods; Vehicle compartment | route: Ghana -> South Africa | 4 arrests | insider indicators,320.0,,,1,4.0,Sea - container,Yes,75,High,"Container cargo, Hidden in legitimate cargo, Advanced concealment, Multi-country route, Organised network, Insider indicator, Multiple drugs",1,DailyGuide Network,full,en,Cocaine Transit Crisis: Another Shipment Pops Up In SA,https://dailyguidenetwork.com/cocaine-transit-crisis-another-shipment-pops-up-in-sa/,1982
2026-09-22,Cocaine,Ghana,,,Australia,Sydney,,,,,,plastic,Ghana -> Australia,Legitimate cargo (industrial/goods); Luggage / passenger goods,Cocaine (3.9 t) | Sea - container | concealed: Legitimate cargo (industrial/goods); Luggage / passenger goods | route: Ghana -> Australia | 4 arrests,3900.0,,,1,4.0,Sea - container,Yes,55,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Multi-country route",1,asaaseradio.com,full,en,Drug lords have established laboratories in Ghana – Nana B alleges,https://asaaseradio.com/drug-lords-have-established-laboratories-in-ghana-nana-b-alleges/,2405
2026-09-22,Cocaine,Germany,,,Australia,Queensland,,,,,,timber; wood; chemical; fruit,Germany -> Australia,Impregnation / liquid / disguised; Legitimate cargo (food/produce); Legitimate cargo (industrial/goods),Cocaine (100 kg) | Sea - container | concealed: Legitimate cargo (food/produce); Legitimate cargo (industrial/goods); Impregnation / liquid / disguised | route: Germany -> Australia | 27 arrests,100.0,,,1,27.0,Sea - container,Yes,55,High,"Container cargo, Hidden in legitimate cargo, Advanced concealment, Multi-country route, Organised network",1,woodcentral.com.au,full,en,Drug Networks Use Timber Trade to Move Cocaine Across Continents,https://woodcentral.com.au/cocaine-in-timber-three-continents/,2404
2026-09-22,Heroin/Opium,India,Mozambique,South Africa,South Africa,OR Tambo / Johannesburg,,Durban,,,,cement,India -> Mozambique -> South Africa,Legitimate cargo (industrial/goods); Luggage / passenger goods,Heroin/Opium (992 kg) | Air - passenger | concealed: Legitimate cargo (industrial/goods); Luggage / passenger goods | route: India -> Mozambique -> South Africa | 2 arrests,991.5,,,1,2.0,Air - passenger,No,55,High,"Hidden in legitimate cargo, Large quantity, Multi-country route, Organised network, Multiple drugs",4,"IOL, Inside Politic, Sowetan, citizen.co.za",full,en,"BMA seizes nearly one tonne of suspected dagga, R1.9m in tobacco and R2m heroin",https://insidepolitic.co.za/bma-seizes-nearly-one-tonne-of-suspected-dagga-r1-9m-in-tobacco-and-r2m-heroin/,2392
2026-09-22,Cocaine,United States,,,Senegal,,,,,,,العاب; الات; فواكه,United States -> Senegal,Legitimate cargo (food/produce); Legitimate cargo (industrial/goods); Luggage / passenger goods,Cocaine (30.0 t) | Sea - container | concealed: Legitimate cargo (food/produce); Legitimate cargo (industrial/goods); Luggage / passenger goods | route: United States -> Senegal,30000.0,,,1,,Sea - container,Yes,55,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Multi-country route",1,Africa Defense Forum,full,ar,تجار الكوكايين يستهدفون السنغال,https://adf-magazine.com/ar/2026/09/%D8%AA%D8%AC%D8%A7%D8%B1-%D8%A7%D9%84%D9%83%D9%88%D9%83%D8%A7%D9%8A%D9%8A%D9%86-%D9%8A%D8%B3%D8%AA%D9%87%D8%AF%D9%81%D9%88%D9%86-%D8%A7%D9%84%D8%B3%D9%86%D8%BA%D8%A7%D9%84/,2703
2026-09-22,Cocaine,,,United States,United States,Florida,,Florida,,,,,,Legitimate cargo (industrial/goods),Cocaine (4.2 t) | Sea - cargo (other) | concealed: Legitimate cargo (industrial/goods) | 3 arrests,4232.90188,,,1,3.0,Sea - cargo (other),Yes,55,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Organised network, Multiple drugs",3,"CubaHeadlines, MyNewsGh, WSVN",full,en,Massive Cocaine and Marijuana Haul Delivered to Florida Following Caribbean Operation,https://www.cubaheadlines.com/articles/340883,1911
2026-09-22,Cocaine,Ghana,,,Ghana,Tema,,,,,,charcoal; plastic; cement,,Legitimate cargo (food/produce); Legitimate cargo (industrial/goods); Postal / parcel,Cocaine (320 kg) | Sea - container | concealed: Legitimate cargo (food/produce); Legitimate cargo (industrial/goods); Postal / parcel | insider indicators,320.0,,,1,,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Organised network, Insider indicator, Multiple drugs",1,3News,full,en,Drug busts: Effiduase- Asokore MP demands bipartisan Parliamentary probe,https://3news.com/news/drug-busts-effiduase-asokore-mp-demands-bipartisan-parliamentary-probe,2587
2026-09-22,Methamphetamine,Malaysia,,,Thailand,Bangkok,Kuala Lumpur,,,,,plastic,Malaysia -> Thailand,Legitimate cargo (industrial/goods); Luggage / passenger goods,"Methamphetamine (350 kg, 1,000,000 pills) | concealed: Legitimate cargo (industrial/goods); Luggage / passenger goods | route: Malaysia -> Thailand",350.0,1000000.0,pills,1,,Unknown,No,50,High,"Hidden in legitimate cargo, Large quantity, Multi-country route, Multiple drugs",1,Thaiger,full,en,Hong Kong man arrested after crystal meth found in Bangkok home,https://thethaiger.com/hot-news/crime/hong-kong-man-arrested-crystal-meth-bangkok,2626
2026-09-22,Cocaine,Costa Rica,,,Belgium,Antwerp,,,,,,فواكه; bananes,Costa Rica -> Belgium,Impregnation / liquid / disguised; Legitimate cargo (food/produce),Cocaine (120 kg) | Sea - container | concealed: Legitimate cargo (food/produce) | route: Costa Rica -> Belgium,120.0,,,1,,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Advanced concealment, Multi-country route",2,"dhnet.be, بلجيكا 24",full,ar,ضبط نحو 120 كيلوغرامًا من الكوكايين داخل ميناء أنتويرب,https://www.belg24.com/%D8%B6%D8%A8%D8%B7-%D8%A7%D9%84%D9%83%D9%88%D9%83%D8%A7%D9%8A%D9%8A%D9%86-%D9%81%D9%8A-%D9%85%D9%8A%D9%86%D8%A7%D8%A1-%D8%A3%D9%86%D8%AA%D9%88%D9%8A%D8%B1%D8%A8/,2112
2026-09-22,Methamphetamine,Pakistan,,Sri Lanka,Pakistan,Islamabad,,Colombo,,,,cement,Pakistan -> Sri Lanka,Legitimate cargo (industrial/goods),Methamphetamine (463 kg) | Sea - container | concealed: Legitimate cargo (industrial/goods) | route: Pakistan -> Sri Lanka,463.0,,,1,21.0,Sea - container,Yes,50,High,"Container cargo, Hidden in legitimate cargo, Large quantity, Organised network",6,"Business Recorder, Geo News, Minute Mirror, Pakistan Observer, TechJuice, thecurrent.pk",full,en,463kg of Afghan-origin meth worth $21m seized in US-Pakistan operation,https://www.geo.tv/latest/683181-463kg-of-afghan-origin-meth-worth-21m-seized-in-us-pakistan-operation,1958
2026-09-22,Cocaine,,,,Ecuador,Posorja,,,,,,maquinaria,,Legitimate cargo (industrial/goods),Cocaine (1.0 t) | Sea - container | concealed: Legitimate cargo (industrial/goods),1000.0,,,1,,Sea - container,Yes,45,Medium,"Container cargo, Hidden in legitimate cargo, Large quantity",1,Metro Ecuador,full,es,Cocaína camuflada en maquinaria de exportación: Policía incauta una tonelada que tenía como destino Guatemala,https://www.metroecuador.com.ec/noticias/2026/09/22/cocaina-camuflada-en-maquinaria-de-exportacion-policia-incauta-una-tonelada-que-iba-rumbo-a-guatemala/,2423
